target;sen
Negative;@lalakbra2 : senin gibi bir pislik kimseye ahlak dersi vermesin . eþcinsel olsaydýn eþcinselliði savunacaktýn . heterosun diye þimdi kendin gibi olmayanlara saldýr dur . kadýnlarý seviyosunya cennetesin zaten . yerin dibine batsýn ahlak anlayýþýn .
Negative;@mrbufi : 3 gün önce bir dizide eþcinsel olduðu için tepki gösterip imza kampanyasý baþlatan insanlarý bu tagda göremiyorum ? homofobiksiniz ama ruhunuz orospu . #çocukistismarýnýnaffiolamaz .
Negative;"@sedaþznnn : geçen gün "" Netflix'de eþcinsel var . örf , âdet ve ahlaki deðerlerimize uymaz , bu sapkýnlýktýr . "" diye , yaklaþýk 100 bin tweet …"
Negative;"@özkaygusuz : büyük ihtimal eþcinsel olmasýna raðmen tutucu anne babasý ve çevresi yüzünden cahilce "" evlenince düzeleceksin (!) "" denilip ."
Negative;@esraymýþ_ : eþcinsel bir tane erkek arkadaþým var ikide bir beybisu diyor çýldýrýyorum kanzkanzkanzkqk .
Negative;@sinemgiller : dizilerde eþcinsel iliþki yaþanýyor diye ortalýðý ayaða kaldýran ahlak bekçileri , çocuklarýn tecavüzcüleriyle evlendirile .
Negative;@bornsrn : heee netflix de eþcinsel sahneler var diye ortalýðý ayaða kaldýran güruhlara soruyorum tecavüzcüsü ile evlenince suç teþkil etmiyormuþ . bu ülkede erkek çocuklara tecavüz eden var onlarý kim ile evlendireceksiniz ? hadi ortalýðý neden kaldýrmýyorsunuz ayaða film için takla atanlar .
Negative;@nursnyz : dizilerde eþcinsel iliþki yaþanýyor diye ortalýðý ayaða kaldýran ahlak bekçileri , çocuklarýn tecavüzcüleriyle evlendirile .
Positive;@yctsyasýn : eþcinsel ailenin çocuðu mu olur amk .
Neutral;@cançergin : sanýrým kendisi de eþcinsel ? ?
Negative;"@yapcanizoyuna : geçen gün "" Netflix'de eþcinsel var . örf , âdet ve ahlaki deðerlerimize uymaz , bu sapkýnlýktýr . "" diye , yaklaþýk 100 bin tweet ."
Neutral;@mutlusonlumesaj : daha düne kadar netflixde eþcinsel iliþkilere yönelik kurgular var diye ortalýðý ayaða kaldýran ahlak bekçileri (!) , çocukla .
Negative;@lalakbra2 : madem öyle neden eþcinsel ailelerin çocuklarý eþcinsel olmuyor . neden her hetero ailenin çocuðu da hetero deðil . emlakin doðanýn %4 ila 5 ý eþcinseldir . iyi yetiþtirdim gay olmaz diye bir þey yok . eþcinsel olmanýn yanlýþ olmadýðýný anlamanýz gerek artýk .
Neutral;@merhababensuu : dizilerde eþcinsel iliþki yaþanýyor diye ortalýðý ayaða kaldýran ahlak bekçileri , çocuklarýn tecavüzcüleriyle evlendirip .
Negative;@lalakbra2 : yahu bunun aileyle bir alakasý yok . bir çocuðu eþcinsel yetiþtiremezsin anlayýn þunu . çocuðuma çok ilgili davranýrsam gay olmaz diye bir þey yok . istediðin gibi yetiþtir . o neyse o olacaktýr . düzgün ailede yetiþip eþcinsel olunmuyomu zannediyorsunuz siz . bu kadar cahil olmayýn .
Negative;@onurçolakoðlu5 : belki de bundan sonraki adým eþcinsel evliliktir .
Negative;@pablito19072 : eþcinsel hariç haklý tweet ! ama beklemek lazým yalan haber büyük ihtimalle .
Negative;"@gülnaaztopkaan : bir diziye konu olan eþcinsel gençleri eleþtirip , yerden yere vururken içinizden fýþkýran müslümanlýk ; ömrünün en fazla 10 senesini güneþli geçirmiþ el kadar çocuklarýn tecavüzcülerini hiç eliniz titremeden serbest býrakýrken de aklýnýza geliyor mu ?"
Positive;"@joppofish : benim baþýma o deðildi ya , genel olarak benim gördüðüm þey þu : konu taþýp cinselliðe kayýyor , "" daima "" . mesela yukarýda birisi demiþ . mafya dizisinde öpüþme sahnesi . ben eþcinsel öpüþmeye deðil de öpüþmesine karþýyým bu içerikte ."
Negative;@yctsyasýn : ailelerin suçu büyük burada aileler eðer eþcinsel olmasýný istemiyorsa küçüklükten istediði gibi yetiþtirecek aþýrý ilgisiz ailelerin laf söylemeye hakký yok tabii ki baþýboþ býrakmýþ ama düzgün bir aile ortamýnda yetiþip de eþcinsel olan birini sorgularým ben .
Negative;@hümanýtyhümanýþ : neden iki erkeðin rýza dahilinde birlikte olmasý iðrenç ? çocuðunuzun kardeþinizin ya da bir akrabanýzýn eþcinsel olmadýðýnýn ya da olmayacaðýnýn garantisini nasýl verebiliyorsunuz ?
Negative;@ankarakedisi12 : iki gün önce tag açýp diziler üzerinden memleketin ahlak bekçiliðini yapan troller neden salýverilecek tecavüzcüler çocuk .
Negative;@lbüse__ : eþcinsel bir dizide ahlak bekçiliði yapanlar infaz kararýna ses çýkarmýyor . demek ki iþinize geldiði kadar bir þeylerin bekçisisiniz .
Negative;"@bendemiþtims : büyük ihtimal eþcinsel olmasýna raðmen tutucu anne babasý ve çevresi yüzünden cahilce "" evlenince düzeleceksin (!) "" denilip evlendirilen ülkedeki binlerce insandan biri . genelde bu ülkede hikâyeleri hep böyle yürüyor ."
Negative;@idilbidi : nasýl bir aldatma hikâyesinde üçüncü kiþinin suçu yoksa burada da suçlu olan aldatan adamdýr . ve bunun adamýn eþcinsel olmasýyla hiç alakasý yok .
Negative;"@nstrhn : aklýmda bir dizi projesi var ; tamamý zencilerden oluþan eþcinsel bir yahudi topluluðuna zulmeden heteroseksüel kýzýlderililer ... netflixin bu projeye her þeyini yatýracaðýndan oldukça eminim ."
Negative;@soulofqueen : çocuklara kötü örnek olduðu için eþcinsel içerikli dizi ve filmlere sansür koyulan ülkede pedofili yasal oluyor . #çocukistismarýnýnaffiolamaz .
Negative;@lalakbra2 : senin hakkýný savunmuyorum . eþcinseller heterolarla eþit haklara sahip olana kadar susamayýz diyorum . bende eþcinsel deðilim . ama þükür beynim var gözüm var . yönelimim farklý diye insanlarýn haykýrýþýna göz yumamam .
Neutral;@büþraydgd : daha düne kadar netflixde eþcinsel iliþkilere yönelik kurgular var diye ortalýðý ayaða kaldýran ahlak bekçileri (!) , çocukla .
Negative;@yaðmurdadýyolar : ülkede eþcinsel dizi var ! bakanýmýz istifa ediyor ! aman allahým diye baðýrdýnýz . þu iðrençliðe ses çýkarmadýnýz be #cinselistismarýnaffiolmaz .
Neutral;@viragorkem : Netflix'de eþcinsel dizisine laf eden yavþaklar konu çocuk tecavüzcüleri olunca susuyor : ’ )
Negative;@mnrerdoðan62 : fahiþe demen de çok saçma seks iþçisi onlar fahiþe deðil ayrýca namusu buna göre kýyaslamakta mantýksýz namus kavramý gereksiz bir kavram zaten ? ? konuya gelecek olursa kimin ne olduðunu iyi biliyoruz ülkede alçaklýk diz boyu zaten sapýklara af veren bir zihniyetten ne beklenir ki .
Negative;@çýngay3 : benim ismim öztürk ismidir senin gibi birilerinin dolunun ismi deðil fahiþe oðlu .
Negative;@mngüldalý1 : fahiþe etini deðil ruhunu satana denmeli hem bu durumda mukayese de ortadan kalkar .
Negative;@serdarkrkc : fahiþe zorla düþürülmüþtür ve kurtulmak için dünyalarý verir . troll gönüllü yapar dünyalarý almak için her türlü trollük yapar .
Negative;@yavheee4 : mecburiyetten bedenini satýyor adý fahiþe oluyor biri sadece para için vatanýný satýyor ben bu trollere vatan haini derim .
Negative;@yasin7z : çünkü o aydýn geçinen aklýn yobazdan yok bir farkýn @anýlalpçimm #kibir daha aðla fahiþe .
Negative;@damlakcan1 : fahiþe olmuþ beyinlerin ispatý zordur bu yüzden vesikasý olmayan herkes kendini namuslu zanneder .
Negative;@nilayvedeniz : fahiþe vergisini ödüyor . fahiþelik en azýndan meslek . troll vergiden muaf ve trollük meslek deðil . dünyada insanýn icat ettiði en þerefsiz iþ sahasý trollük .
Negative;@amdibili3 : fahiþeliðin de bazý sýnýrlarý vardýr , parayý verirsin ama her istediðini yapamazsýn paraya raðmen kurallarý .
