=== Run information ===

Scheme:       weka.classifiers.functions.LibSVM -S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model D:\Ozgur\Desktop -seed 1
Relation:     datasetclass-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters " \r\n\t.,;:\'\"()?!"
Instances:    5524
Attributes:   1847
              [list of attributes omitted]
Test mode:    10-fold cross-validation

=== Classifier model (full training set) ===

LibSVM wrapper, original code by Yasser EL-Manzalawy (= WLSVM)

Time taken to build model: 1.9 seconds

=== Predictions on test data ===

    inst#     actual  predicted error prediction
        1      1:yes      1:yes       1 
        2      1:yes      1:yes       1 
        3      1:yes      1:yes       1 
        4      1:yes      1:yes       1 
        5      1:yes      1:yes       1 
        6      1:yes      1:yes       1 
        7      1:yes      1:yes       1 
        8      1:yes      1:yes       1 
        9      1:yes      1:yes       1 
       10      1:yes      1:yes       1 
       11      1:yes      1:yes       1 
       12      1:yes      1:yes       1 
       13      1:yes      1:yes       1 
       14      1:yes      1:yes       1 
       15      1:yes      1:yes       1 
       16      1:yes      1:yes       1 
       17      1:yes      1:yes       1 
       18      1:yes      1:yes       1 
       19      1:yes      1:yes       1 
       20      1:yes      1:yes       1 
       21      1:yes      1:yes       1 
       22      1:yes      1:yes       1 
       23      1:yes      1:yes       1 
       24      1:yes      1:yes       1 
       25      1:yes      1:yes       1 
       26      1:yes      1:yes       1 
       27      1:yes      1:yes       1 
       28      1:yes      1:yes       1 
       29      1:yes      1:yes       1 
       30      1:yes      1:yes       1 
       31      1:yes      1:yes       1 
       32      1:yes      1:yes       1 
       33      1:yes      1:yes       1 
       34      1:yes      1:yes       1 
       35      1:yes      1:yes       1 
       36      1:yes      1:yes       1 
       37      1:yes      1:yes       1 
       38      1:yes      1:yes       1 
       39      1:yes      1:yes       1 
       40      1:yes      1:yes       1 
       41      1:yes      1:yes       1 
       42      1:yes      1:yes       1 
       43      1:yes      1:yes       1 
       44      1:yes      1:yes       1 
       45      1:yes      1:yes       1 
       46      1:yes      1:yes       1 
       47      1:yes      1:yes       1 
       48      1:yes      1:yes       1 
       49      1:yes      1:yes       1 
       50      1:yes      1:yes       1 
       51      1:yes      1:yes       1 
       52      1:yes      1:yes       1 
       53      1:yes      1:yes       1 
       54      1:yes      1:yes       1 
       55      1:yes      1:yes       1 
       56      1:yes      1:yes       1 
       57      1:yes      1:yes       1 
       58      1:yes      1:yes       1 
       59      1:yes      1:yes       1 
       60      1:yes      1:yes       1 
       61      1:yes      1:yes       1 
       62      1:yes      1:yes       1 
       63      1:yes      1:yes       1 
       64      1:yes      1:yes       1 
       65      1:yes      1:yes       1 
       66      1:yes      1:yes       1 
       67      1:yes      1:yes       1 
       68      1:yes      1:yes       1 
       69      1:yes      1:yes       1 
       70      1:yes      1:yes       1 
       71      1:yes      1:yes       1 
       72      1:yes      1:yes       1 
       73      1:yes      1:yes       1 
       74      1:yes      1:yes       1 
       75      1:yes      1:yes       1 
       76      1:yes      1:yes       1 
       77      1:yes      1:yes       1 
       78      1:yes      1:yes       1 
       79      1:yes      1:yes       1 
       80      1:yes      1:yes       1 
       81      1:yes      1:yes       1 
       82      1:yes      1:yes       1 
       83      1:yes      1:yes       1 
       84      1:yes      1:yes       1 
       85      1:yes      1:yes       1 
       86      1:yes      1:yes       1 
       87      1:yes      1:yes       1 
       88      1:yes      1:yes       1 
       89      1:yes      1:yes       1 
       90      1:yes      1:yes       1 
       91      1:yes      1:yes       1 
       92      1:yes      1:yes       1 
       93      1:yes      1:yes       1 
       94      1:yes      1:yes       1 
       95      1:yes      1:yes       1 
       96      1:yes      1:yes       1 
       97      1:yes      1:yes       1 
       98      1:yes      1:yes       1 
